index	representative	orbit_size	orbit_words
455	1112122342343434	16	1112122342343434,1121223413434234,1212134134232344,1121341232323444,1213412323124434,1123123231244344,1231231212443434,1212312124334344,1123121243342434,1231212433414234,1212123334142344,1121233241423434,1212331414234234,1123214132342344,1231141223423434,1211312234234344
456	1112122343233444	16	1112122343233444,1121223431324434,1212134312243344,1121342122333444,1213421213324434,1123212133244344,1231121322443434,1211213224334344,1112132243342434,1121322433414234,1213214324132344,1122133241323444,1211322413234434,1112223132344344,1122131323442434,1211312234423344
457	1112122343234344	16	1112122343234344,1121223431342434,1212134312423344,1121342123233444,1213421231324434,1123212313244344,1231123122443434,1211231224334344,1112312243342434,1123122433414234,1231214324132344,1212133241323444,1121322413234434,1213214132344234,1122131323442344,1211312234423434
458	1112122343234434	16	1112122343234434,1121223431344234,1212134312432344,1121342123323444,1213421233124434,1123212331244344,1231123212443434,1211232124334344,1112321243342434,1123212433414234,1231124324132344,1211233241323444,1112322413234434,1123214132344234,1231141223432344,1211312234323444
459	1112122343243344	16	1112122343243344,1121223431432434,1212134314223344,1121342132233444,1213421321324434,1123213213244344,1231122132443434,1211221324334344,1112213243342434,1122132433414234,1211324324132344,1112233241323444,1122331412234434,1213214122343344,1122131223433444,1211312234324434
460	1112122343243434	16	1112122343243434,1121223431434234,1212134314232344,1121342132323444,1213421323124434,1123213231244344,1231122312443434,1211223124334344,1112231243342434,1122312433414234,1213124324132344,1121233241323444,1212331412234434,1123214122343344,1231141223432434,1211312234324344
461	1112122343342344	16	1112122343342344,1121223433412434,1212134324123344,1121342231233444,1213421312324434,1123213123244344,1231121232443434,1211212324334344,1112123243342434,1121232433414234,1212314324132344,1123142231323444,1231421312234434,1213213122344344,1122131223443434,1211312234434234
462	1112122343342434	8	1112122343342434,1121223433414234,1212134324132344,1121342231323444,1213421312234434,1123213122344344,1231121223443434,1211212234334344
463	1112122343344234	16	1112122343344234,1121223433441234,1212134324312344,1121342233123444,1213421321234434,1123213212344344,1231122123443434,1211221234334344,1112212343342434,1122123433414234,1211234324132344,1112342231323444,1123421312234434,1234112122343344,1231121223433444,1211212234334434
464	1112122343423344	16	1112122343423344,1121223434132434,1212134341223344,1121342312233444,1213423121324434,1123231213244344,1231212132443434,1212121324334344,1121213243342434,1212132433414234,1121324324132344,1213243141223434,1122331412234344,1213214122343434,1122131223434344,1211312234342434
465	1112122343423434	16	1112122343423434,1121223434134234,1212134341232344,1121342312323444,1213423123124434,1123231231244344,1231212312443434,1212123124334344,1121231243342434,1212312433414234,1123124324132344,1231243141223434,1212331412234344,1123214122343434,1231141223434234,1211312234342344
466	1112122343432344	16	1112122343432344,1121223434312434,1212134342123344,1121342321233444,1213423112324434,1123231123244344,1231211232443434,1212112324334344,1121123243342434,1211232433414234,1112324324132344,1123243141223434,1231421312234344,1213213122343444,1122131223434434,1211312234344234
467	1112122343432434	16	1112122343432434,1121223434314234,1212134342132344,1121342321323444,1213423112234434,1123231122344344,1231211223443434,1212112234334344,1121122343342434,1211223433414234,1112234324132344,1122343141223434,1213421312234344,1123213122343444,1231121223434434,1211212234343344
468	1112122343434234	16	1112122343434234,1121223434341234,1212134342312344,1121342323123444,1213423121234434,1123231212344344,1231212123443434,1212121234334344,1121212343342434,1212123433414234,1121234324132344,1212343141223434,1123421312234344,1234112122343434,1231121223434344,1211212234343434
469	1112123223343444	16	1112123223343444,1121232133424434,1212311324243344,1123112242333444,1231122413324434,1211223133244344,1112231322443434,1122313214434234,1213122143342344,1121221333423444,1212113324234434,1121132242343344,1211322413432434,1112223134324344,1122131342243434,1211312422334344
470	1112123223344344	16	1112123223344344,1121232133442434,1212311324423344,1123112243233444,1231122431324434,1211223313244344,1112233122443434,1122331214434234,1213212143342344,1122121333423444,1211213324234434,1112132242343344,1121322413432434,1213214134223344,1122131342233444,1211312422334434
471	1112123223433444	16	1112123223433444,1121232134324434,1212311342243344,1123112422333444,1231124213324434,1211232133244344,1112321322443434,1123213214434234,1231122143342344,1211221333423444,1112213324234434,1122133241344234,1211322413432344,1112223134323444,1122131342234434,1211312422343344
472	1112123223434344	16	1112123223434344,1121232134342434,1212311342423344,1123112423233444,1231124231324434,1211232313244344,1112323122443434,1123231214434234,1231212143342344,1212121333423444,1121213324234434,1212133241344234,1121322413432344,1213214134223434,1122131342234344,1211312422343434
473	1112123223434434	16	1112123223434434,1121232134344234,1212311342432344,1123112423323444,1231124233124434,1211232331244344,1112323212443434,1123231124434234,1231211243342344,1212112333423444,1121123324234434,1211233241344234,1112322413432344,1123214134223434,1231141232234344,1211312322343444
474	1112123223443434	16	1112123223443434,1121232134434234,1212311344232344,1123112432323444,1231124323124434,1211233231244344,1112322312443434,1123213124434234,1231121243342344,1211212333423444,1112123324234434,1121233241344234,1212331412432344,1123214123323444,1231141232234434,1211312322344344
475	1112123224334434	16	1112123224334434,1121232143344234,1212311432432344,1123114223323444,1231142233124434,1211322331244344,1112223312443434,1122133124434234,1211321243342344,1112212333423444,1122123334124434,1211233241243344,1112322412333444,1123214123324434,1231141232243344,1211312322433444
476	1112123224343344	16	1112123224343344,1121232143432434,1212311434223344,1123114232233444,1231142321324434,1211323213244344,1112232132443434,1122311324434234,1213112243342344,1121122333423444,1211223334124434,1112233241243344,1122331412432434,1213214123324344,1122131233243444,1211312322434434
477	1112123224343434	16	1112123224343434,1121232143434234,1212311434232344,1123114232323444,1231142323124434,1211323231244344,1112232312443434,1122313124434234,1213121243342344,1121212333423444,1212123334124434,1121233241243344,1212331412432434,1123214123324344,1231141232243434,1211312322434344
478	1112123232343444	16	1112123232343444,1121232313424434,1212313124243344,1123121242333444,1231212413324434,1212123133244344,1121231322443434,1212313214434234,1123122143342344,1231211432423434,1212113324234344,1121132242343434,1211322413434234,1112223134342344,1122131342423434,1211312423234344
479	1112123232344344	16	1112123232344344,1121232313442434,1212313124423344,1123121243233444,1231212431324434,1212123313244344,1121233122443434,1212331214434234,1123212143342344,1231121432423434,1211213324234344,1112132242343434,1121322413434234,1213214134232344,1122131342323444,1211312423234434
480	1112123232433444	16	1112123232433444,1121232314324434,1212313142243344,1123121422333444,1231214213324434,1212132133244344,1121321322443434,1213213214434234,1122132143342344,1211321432423434,1112213324234344,1122133241342434,1211322413423344,1112223134233444,1122131342324434,1211312423243344
481	1112123232434344	16	1112123232434344,1121232314342434,1212313142423344,1123121423233444,1231214231324434,1212132313244344,1121323122443434,1213231214434234,1122312143342344,1213121432423434,1121213324234344,1212133241342434,1121322413423344,1213214134232434,1122131342324344,1211312423243434
482	1112123232434434	16	1112123232434434,1121232314344234,1212313142432344,1123121423323444,1231214233124434,1212132331244344,1121323212443434,1213231124434234,1122311243342344,1213112432423434,1121123324234344,1211233241342434,1112322413423344,1123214134232434,1231141232324344,1211312323243444
483	1112123232443434	16	1112123232443434,1121232314434234,1212313144232344,1123121432323444,1231214323124434,1212133231244344,1121322312443434,1213213124434234,1122131243342344,1211312432423434,1112123324234344,1121233241342434,1212331412423344,1123214123233444,1231141232324434,1211312323244344
484	1112123233243444	16	1112123233243444,1121232331424434,1212313214243344,1123122142333444,1231211423324434,1212113233244344,1121132322443434,1211323214434234,1112232143342344,1122311432423434,1213114223234344,1121132232343444,1211322313424434,1112223134243344,1122131342432434,1211312423324344
485	1112123233244344	16	1112123233244344,1121232331442434,1212313214423344,1123122143233444,1231211432324434,1212113323244344,1121132232443434,1211322314434234,1112223143342344,1122131432423434,1211314223234344,1112132232343444,1121322313424434,1213213124243344,1122131242333444,1211312423324434
486	1112123233423444	16	1112123233423444,1121232334124434,1212313241243344,1123122412333444,1231214123324434,1212131233244344,1121312322443434,1213123214434234,1121232143342344,1212311432423434,1123114223234344,1231142231342434,1211322313424344,1112223134243434,1122131342434234,1211312423342344
487	1112123233424344	16	1112123233424344,1121232334142434,1212313241423344,1123122413233444,1231214132324434,1212131323244344,1121312232443434,1213122314434234,1121223143342344,1212131432423434,1121314223234344,1213142231342434,1121322313424344,1213213124243434,1122131242334344,1211312423342434
488	1112123233424434	16	1112123233424434,1121232334144234,1212313241432344,1123122413323444,1231214132234434,1212131322344344,1121312223443434,1213122134434234,1121221343342344,1212113432423434,1121134223234344,1211342231342434,1112322313424344,1123213124243434,1231121242334344,1211212323343444
489	1112123233442344	16	1112123233442344,1121232334412434,1212313244123344,1123122431233444,1231214312324434,1212133123244344,1121321232443434,1213212314434234,1122123143342344,1211231432423434,1112314223234344,1123142231342434,1231421312423344,1213213124233444,1122131242334434,1211312423344234
490	1112123233442434	16	1112123233442434,1121232334414234,1212313244132344,1123122431323444,1231214312234434,1212133122344344,1121321223443434,1213212134434234,1122121343342344,1211213432423434,1112134223234344,1121342231342434,1213421312423344,1123213124233444,1231121242334434,1211212323344344
491	1112123234233444	16	1112123234233444,1121232341324434,1212313412243344,1123124122333444,1231241213324434,1212312133244344,1123121322443434,1231213214434234,1212132143342344,1121321432423434,1213214324134234,1122133241342344,1211322413423434,1112223134234344,1122131342342434,1211312423423344
492	1112123234234344	16	1112123234234344,1121232341342434,1212313412423344,1123124123233444,1231241231324434,1212312313244344,1123123122443434,1231231214434234,1212312143342344,1123121432423434,1231214324134234,1212133241342344,1121322413423434,1213214134234234,1122131342342344,1211312423423434
493	1112123234234434	16	1112123234234434,1121232341344234,1212313412432344,1123124123323444,1231241233124434,1212312331244344,1123123212443434,1231231124434234,1212311243342344,1123112432423434,1231124324134234,1211233241342344,1112322413423434,1123214134234234,1231141232342344,1211312323423444
494	1112123234243344	16	1112123234243344,1121232341432434,1212313414223344,1123124132233444,1231241321324434,1212313213244344,1123122132443434,1231211324434234,1212113243342344,1121132432423434,1211324324134234,1112233241342344,1122331412423434,1213214123234344,1122131232343444,1211312323424434
495	1112123234243434	16	1112123234243434,1121232341434234,1212313414232344,1123124132323444,1231241323124434,1212313231244344,1123122312443434,1231213124434234,1212131243342344,1121312432423434,1213124324134234,1121233241342344,1212331412423434,1123214123234344,1231141232342434,1211312323424344
496	1112123234323444	16	1112123234323444,1121232343124434,1212313421243344,1123124212333444,1231241123324434,1212311233244344,1123112322443434,1231123214434234,1211232143342344,1112321432423434,1123214324134234,1231142231342344,1211322313423444,1112223134234434,1122131342344234,1211312423432344
497	1112123234324344	16	1112123234324344,1121232343142434,1212313421423344,1123124213233444,1231241132324434,1212311323244344,1123112232443434,1231122314434234,1211223143342344,1112231432423434,1122314324134234,1213142231342344,1121322313423444,1213213124234434,1122131242343344,1211312423432434
498	1112123234324434	16	1112123234324434,1121232343144234,1212313421432344,1123124213323444,1231241132234434,1212311322344344,1123112223443434,1231122134434234,1211221343342344,1112213432423434,1122134324134234,1211342231342344,1112322313423444,1123213124234434,1231121242343344,1211212323433444
499	1112123234342344	16	1112123234342344,1121232343412434,1212313424123344,1123124231233444,1231241312324434,1212313123244344,1123121232443434,1231212314434234,1212123143342344,1121231432423434,1212314324134234,1123142231342344,1231421312423434,1213213124234344,1122131242343434,1211312423434234
500	1112123234342434	16	1112123234342434,1121232343414234,1212313424132344,1123124231323444,1231241312234434,1212313122344344,1123121223443434,1231212134434234,1212121343342344,1121213432423434,1212134324134234,1121342231342344,1213421312423434,1123213124234344,1231121242343434,1211212323434344
501	1112123234344234	16	1112123234344234,1121232343441234,1212313424312344,1123124233123444,1231241321234434,1212313212344344,1123122123443434,1231211234434234,1212112343342344,1121123432423434,1211234324134234,1112342231342344,1123421312423434,1234112123234344,1231121232343444,1211212323434434
502	1112123234423344	16	1112123234423344,1121232344132434,1212313441223344,1123124312233444,1231243121324434,1212331213244344,1123212132443434,1231121324434234,1211213243342344,1112132432423434,1121324324134234,1213243141232344,1122331412323444,1213214123234434,1122131232344344,1211312323442434
503	1112123234423434	16	1112123234423434,1121232344134234,1212313441232344,1123124312323444,1231243123124434,1212331231244344,1123212312443434,1231123124434234,1211231243342344,1112312432423434,1123124324134234,1231243141232344,1212331412323444,1123214123234434,1231141232344234,1211312323442344
504	1112123234434234	16	1112123234434234,1121232344341234,1212313442312344,1123124323123444,1231243121234434,1212331212344344,1123212123443434,1231121234434234,1211212343342344,1112123432423434,1121234324134234,1212343141232344,1123421312323444,1234112123234434,1231121232344344,1211212323443434
505	1112123242333444	16	1112123242333444,1121232413324434,1212314132243344,1123141222333444,1231412213324434,1213122133244344,1121221332443434,1212113324434234,1121132243342344,1211322433412434,1112223334124344,1122133241243434,1211322412334344,1112223123343444,1122131233424434,1211312324243344
506	1112123242334344	16	1112123242334344,1121232413342434,1212314132423344,1123141223233444,1231412231324434,1213122313244344,1121223132443434,1212131324434234,1121312243342344,1213122433412434,1121223334124344,1212133241243434,1121322412334344,1213214123342434,1122131233424344,1211312324243434
507	1112123242334434	16	1112123242334434,1121232413344234,1212314132432344,1123141223323444,1231412233124434,1213122331244344,1121223312443434,1212133124434234,1121321243342344,1213212433412434,1122123334124344,1211233241243434,1112322412334344,1123214123342434,1231141232423344,1211312324233444
508	1112123242343344	16	1112123242343344,1121232413432434,1212314134223344,1123141232233444,1231412321324434,1213123213244344,1121232132443434,1212311324434234,1123112243342344,1231122433412434,1211223334124344,1112233241243434,1122331412434234,1213214123342344,1122131233423444,1211312324234434
509	1112123242343434	16	1112123242343434,1121232413434234,1212314134232344,1123141232323444,1231412323124434,1213123231244344,1121232312443434,1212313124434234,1123121243342344,1231212433412434,1212123334124344,1121233241243434,1212331412434234,1123214123342344,1231141232423434,1211312324234344
510	1112123243233444	16	1112123243233444,1121232431324434,1212314312243344,1123142122333444,1231421213324434,1213212133244344,1122121332443434,1211213324434234,1112132243342344,1121322433412434,1213214324123344,1122133241233444,1211322412334434,1112223123344344,1122131233442434,1211312324423344
511	1112123243234344	16	1112123243234344,1121232431342434,1212314312423344,1123142123233444,1231421231324434,1213212313244344,1122123132443434,1211231324434234,1112312243342344,1123122433412434,1231214324123344,1212133241233444,1121322412334434,1213214123344234,1122131233442344,1211312324423434
512	1112123243234434	16	1112123243234434,1121232431344234,1212314312432344,1123142123323444,1231421233124434,1213212331244344,1122123312443434,1211233124434234,1112321243342344,1123212433412434,1231124324123344,1211233241233444,1112322412334434,1123214123344234,1231141232432344,1211312324323444
513	1112123243243344	16	1112123243243344,1121232431432434,1212314314223344,1123142132233444,1231421321324434,1213213213244344,1122132132443434,1211321324434234,1112213243342344,1122132433412434,1211324324123344,1112233241233444,1122331412324434,1213214123243344,1122131232433444,1211312324324434
514	1112123243243434	16	1112123243243434,1121232431434234,1212314314232344,1123142132323444,1231421323124434,1213213231244344,1122132312443434,1211323124434234,1112231243342344,1122312433412434,1213124324123344,1121233241233444,1212331412324434,1123214123243344,1231141232432434,1211312324324344
515	1112123243342344	8	1112123243342344,1121232433412434,1212314324123344,1123142231233444,1231421312324434,1213213123244344,1122131232443434,1211312324434234
516	1112123243344234	16	1112123243344234,1121232433441234,1212314324312344,1123142233123444,1231421321234434,1213213212344344,1122132123443434,1211321234434234,1112212343342344,1122123433412434,1211234324123344,1112342231233444,1123421312324434,1234112123243344,1231121232433444,1211212324334434
517	1112123243423344	16	1112123243423344,1121232434132434,1212314341223344,1123142312233444,1231423121324434,1213231213244344,1122312132443434,1213121324434234,1121213243342344,1212132433412434,1121324324123344,1213243141232434,1122331412324344,1213214123243434,1122131232434344,1211312324342434
518	1112123243423434	16	1112123243423434,1121232434134234,1212314341232344,1123142312323444,1231423123124434,1213231231244344,1122312312443434,1213123124434234,1121231243342344,1212312433412434,1123124324123344,1231243141232434,1212331412324344,1123214123243434,1231141232434234,1211312324342344
519	1112123243432344	16	1112123243432344,1121232434312434,1212314342123344,1123142321233444,1231423112324434,1213231123244344,1122311232443434,1213112324434234,1121123243342344,1211232433412434,1112324324123344,1123243141232434,1231421312324344,1213213123243444,1122131232434434,1211312324344234
520	1112123243432434	16	1112123243432434,1121232434314234,1212314342132344,1123142321323444,1231423112234434,1213231122344344,1122311223443434,1213112234434234,1121122343342344,1211223433412434,1112234324123344,1122343141232434,1213421312324344,1123213123243444,1231121232434434,1211212324343344
521	1112123243434234	16	1112123243434234,1121232434341234,1212314342312344,1123142323123444,1231423121234434,1213231212344344,1122312123443434,1213121234434234,1121212343342344,1212123433412434,1121234324123344,1212343141232434,1123421312324344,1234112123243434,1231121232434344,1211212324343434
522	1112123323243444	16	1112123323243444,1121233231424434,1212331214243344,1123212142333444,1231121423324434,1211213233244344,1112132322443434,1121323214434234,1213231144232344,1122311432323444,1213114223234434,1121132232344344,1211322313442434,1112223134423344,1122131344232434,1211312432324344
523	1112123323244344	16	1112123323244344,1121233231442434,1212331214423344,1123212143233444,1231121432324434,1211213323244344,1112132232443434,1121322314434234,1213213144232344,1122131432323444,1211314223234434,1112132232344344,1121322313442434,1213213124423344,1122131243233444,1211312432324434
524	1112123323423444	16	1112123323423444,1121233234124434,1212331241243344,1123212412333444,1231124123324434,1211231233244344,1112312322443434,1123123214434234,1231231144232344,1212311432323444,1123114223234434,1231142231344234,1211322313442344,1112223134423434,1122131344234234,1211312432342344
525	1112123323424344	16	1112123323424344,1121233234142434,1212331241423344,1123212413233444,1231124132324434,1211231323244344,1112312232443434,1123122314434234,1231213144232344,1212131432323444,1121314223234434,1213142231344234,1121322313442344,1213213124423434,1122131243234344,1211312432342434
526	1112123323424434	16	1112123323424434,1121233234144234,1212331241432344,1123212413323444,1231124132234434,1211231322344344,1112312223443434,1123122134434234,1231211344232344,1212113432323444,1121134223234434,1211342231344234,1112322313442344,1123213124423434,1231121243234344,1211212332343444
527	1112123323442344	16	1112123323442344,1121233234412434,1212331244123344,1123212431233444,1231124312324434,1211233123244344,1112321232443434,1123212314434234,1231123144232344,1211231432323444,1112314223234434,1123142231344234,1231421312432344,1213213124323444,1122131243234434,1211312432344234
528	1112123323442434	16	1112123323442434,1121233234414234,1212331244132344,1123212431323444,1231124312234434,1211233122344344,1112321223443434,1123212134434234,1231121344232344,1211213432323444,1112134223234434,1121342231344234,1213421312432344,1123213124323444,1231121243234434,1211212332344344
529	1112123324323444	16	1112123324323444,1121233243124434,1212331421243344,1123214212333444,1231142123324434,1211321233244344,1112212332443434,1122123314434234,1211233144232344,1112321432323444,1123214323124434,1231142231243344,1211322312433444,1112223124334434,1122131243344234,1211312432432344
530	1112123324324344	16	1112123324324344,1121233243142434,1212331421423344,1123214213233444,1231142132324434,1211321323244344,1112213232443434,1122132314434234,1211323144232344,1112231432323444,1122314323124434,1213142231243344,1121322312433444,1213213124324434,1122131243243344,1211312432432434
531	1112123324324434	16	1112123324324434,1121233243144234,1212331421432344,1123214213323444,1231142132234434,1211321322344344,1112213223443434,1122132134434234,1211321344232344,1112213432323444,1122134323124434,1211342231243344,1112322312433444,1123213124324434,1231121243243344,1211212332433444
532	1112123324342344	16	1112123324342344,1121233243412434,1212331424123344,1123214231233444,1231142312324434,1211323123244344,1112231232443434,1122312314434234,1213123144232344,1121231432323444,1212314323124434,1123142231243344,1231421312432434,1213213124324344,1122131243243434,1211312432434234
533	1112123324342434	16	1112123324342434,1121233243414234,1212331424132344,1123214231323444,1231142312234434,1211323122344344,1112231223443434,1122312134434234,1213121344232344,1121213432323444,1212134323124434,1121342231243344,1213421312432434,1123213124324344,1231121243243434,1211212332434344
534	1112123324344234	16	1112123324344234,1121233243441234,1212331424312344,1123214233123444,1231142321234434,1211323212344344,1112232123443434,1122311234434234,1213112344232344,1121123432323444,1211234323124434,1112342231243344,1123421312432434,1234112123324344,1231121233243444,1211212332434434
535	1112123324423344	16	1112123324423344,1121233244132434,1212331441223344,1123214312233444,1231142122334434,1211321223344344,1112212233443434,1122121334434234,1211213344232344,1112132432323444,1121324323124434,1213243121243344,1122331212433444,1213212124334434,1122121233344344,1211212333442434
536	1112123324423434	16	1112123324423434,1121233244134234,1212331441232344,1123214312323444,1231142123234434,1211321232344344,1112212323443434,1122123134434234,1211231344232344,1112312432323444,1123124323124434,1231243121243344,1212331212433444,1123212124334434,1231121243344234,1211212333442344
537	1112123324434234	16	1112123324434234,1121233244341234,1212331442312344,1123214323123444,1231142231234434,1211322312344344,1112223123443434,1122131234434234,1211312344232344,1112123432323444,1121234323124434,1212343121243344,1123421212333444,1234112123324434,1231121233244344,1211212332443434
538	1112123342233444	16	1112123342233444,1121233421324434,1212334112243344,1123241122333444,1231411223324434,1213112233244344,1121122332443434,1211223314434234,1112233144232344,1122331442312434,1213214323124344,1122133231243444,1211322312434434,1112223124343344,1122131243432434,1211312434223344
539	1112123342234344	16	1112123342234344,1121233421342434,1212334112423344,1123241123233444,1231411232324434,1213112323244344,1121123232443434,1211232314434234,1112323144232344,1123231442312434,1231214323124344,1212133231243444,1121322312434434,1213213124344234,1122131243432344,1211312434223434
540	1112123342234434	16	1112123342234434,1121233421344234,1212334112432344,1123241123323444,1231411232234434,1213112322344344,1121123223443434,1211232134434234,1112321344232344,1123213442312434,1231124323124344,1211233231243444,1112322312434434,1123213124344234,1231121243432344,1211212334323444
541	1112123342243344	16	1112123342243344,1121233421432434,1212334114223344,1123241132233444,1231411222334434,1213112223344344,1121122233443434,1211221334434234,1112213344232344,1122133442312434,1211324323124344,1112233231243444,1122331212434434,1213212124343344,1122121233433444,1211212334324434
542	1112123342243434	16	1112123342243434,1121233421434234,1212334114232344,1123241132323444,1231411223234434,1213112232344344,1121122323443434,1211223134434234,1112231344232344,1122313442312434,1213124323124344,1121233231243444,1212331212434434,1123212124343344,1231121243432434,1211212334324344
543	1112123342323444	16	1112123342323444,1121233423124434,1212334121243344,1123241212333444,1231412123324434,1213121233244344,1121212332443434,1212123314434234,1121233144232344,1212331442312434,1123214323124344,1231142231243434,1211322312434344,1112223124343434,1122131243434234,1211312434232344
544	1112123342324344	16	1112123342324344,1121233423142434,1212334121423344,1123241213233444,1231412132324434,1213121323244344,1121213232443434,1212132314434234,1121323144232344,1213231442312434,1122314323124344,1213142231243434,1121322312434344,1213213124342434,1122131243423344,1211312434232434
545	1112123342324434	16	1112123342324434,1121233423144234,1212334121432344,1123241213323444,1231412132234434,1213121322344344,1121213223443434,1212132134434234,1121321344232344,1213213442312434,1122134323124344,1211342231243434,1112322312434344,1123213124342434,1231121243423344,1211212334233444
546	1112123342342344	16	1112123342342344,1121233423412434,1212334124123344,1123241231233444,1231412312324434,1213123123244344,1121231232443434,1212312314434234,1123123144232344,1231231442312434,1212314323124344,1123142231243434,1231421312434234,1213213124342344,1122131243423434,1211312434234234
547	1112123342342434	16	1112123342342434,1121233423414234,1212334124132344,1123241231323444,1231412312234434,1213123122344344,1121231223443434,1212312134434234,1123121344232344,1231213442312434,1212134323124344,1121342231243434,1213421312434234,1123213124342344,1231121243423434,1211212334234344
548	1112123342344234	16	1112123342344234,1121233423441234,1212334124312344,1123241233123444,1231412321234434,1213123212344344,1121232123443434,1212311234434234,1123112344232344,1231123442312434,1211234323124344,1112342231243434,1123421312434234,1234112123342344,1231121233423444,1211212334234434
549	1112123342423344	16	1112123342423344,1121233424132434,1212334141223344,1123241312233444,1231412122334434,1213121223344344,1121212233443434,1212121334434234,1121213344232344,1212133442312434,1121324323124344,1213243121243434,1122331212434344,1213212124343434,1122121233434344,1211212334342434
550	1112123342423434	16	1112123342423434,1121233424134234,1212334141232344,1123241312323444,1231412123234434,1213121232344344,1121212323443434,1212123134434234,1121231344232344,1212313442312434,1123124323124344,1231243121243434,1212331212434344,1123212124343434,1231121243434234,1211212334342344
551	1112123342432344	16	1112123342432344,1121233424312434,1212334142123344,1123241321233444,1231412212334434,1213122123344344,1121221233443434,1212112334434234,1121123344232344,1211233442312434,1112324323124344,1123243121243434,1231421212334344,1213212123343444,1122121233434434,1211212334344234
552	1112123342432434	16	1112123342432434,1121233424314234,1212334142132344,1123241321323444,1231412213234434,1213122132344344,1121221323443434,1212113234434234,1121132344232344,1211323442312434,1112234323124344,1122343121243434,1213421212334344,1123212123343444,1231121233424434,1211212334243344
553	1112123342434234	16	1112123342434234,1121233424341234,1212334142312344,1123241323123444,1231412231234434,1213122312344344,1121223123443434,1212131234434234,1121312344232344,1213123442312434,1121234323124344,1212343121243434,1123421212334344,1234112123342434,1231121233424344,1211212334243434
554	1112123344232344	8	1112123344232344,1121233442312434,1212334412123344,1123243121233444,1231421212334434,1213212123344344,1122121233443434,1211212334434234
555	1112123344232434	16	1112123344232434,1121233442314234,1212334412132344,1123243121323444,1231421213234434,1213212132344344,1122121323443434,1211213234434234,1112132344232344,1121323442312434,1213234412123344,1122343121233444,1213421212334434,1123212123344344,1231121233442434,1211212334423344
556	1112123344234234	16	1112123344234234,1121233442341234,1212334412312344,1123243123123444,1231421231234434,1213212312344344,1122123123443434,1211231234434234,1112312344232344,1123123442312434,1231234412123344,1212343121233444,1123421212334434,1234112123344234,1231121233442344,1211212334423434
557	1112123422333444	16	1112123422333444,1121234213324434,1212341132243344,1123411222333444,1234112213324434,1231122133244344,1211221332443434,1112213324434234,1122133244341234,1211322433412344,1112223334123444,1122133241234434,1211322412343344,1112223123433444,1122131234324434,1211312342243344
558	1112123422334344	16	1112123422334344,1121234213342434,1212341132423344,1123411223233444,1234112231324434,1231122313244344,1211223132443434,1112231324434234,1122313244341234,1213122433412344,1121223334123444,1212133241234434,1121322412343344,1213214123432434,1122131234324344,1211312342243434
559	1112123422334434	16	1112123422334434,1121234213344234,1212341132432344,1123411223323444,1234112233124434,1231122331244344,1211223312443434,1112233124434234,1122331244341234,1213212433412344,1122123334123444,1211233241234434,1112322412343344,1123214123432434,1231141234223344,1211312342233444
560	1112123422343344	16	1112123422343344,1121234213432434,1212341134223344,1123411232233444,1234112321324434,1231123213244344,1211232132443434,1112321324434234,1123213244341234,1231122433412344,1211223334123444,1112233241234434,1122331412344234,1213214123432344,1122131234323444,1211312342234434
561	1112123422343434	16	1112123422343434,1121234213434234,1212341134232344,1123411232323444,1234112323124434,1231123231244344,1211232312443434,1112323124434234,1123231244341234,1231212433412344,1212123334123444,1121233241234434,1212331412344234,1123214123432344,1231141234223434,1211312342234344
562	1112123423233444	16	1112123423233444,1121234231324434,1212341312243344,1123412122333444,1234121213324434,1231212133244344,1212121332443434,1121213324434234,1212133244341234,1121322433412344,1213214324123434,1122133241234344,1211322412343434,1112223123434344,1122131234342434,1211312342423344
563	1112123423234344	16	1112123423234344,1121234231342434,1212341312423344,1123412123233444,1234121231324434,1231212313244344,1212123132443434,1121231324434234,1212313244341234,1123122433412344,1231214324123434,1212133241234344,1121322412343434,1213214123434234,1122131234342344,1211312342423434
564	1112123423234434	16	1112123423234434,1121234231344234,1212341312432344,1123412123323444,1234121233124434,1231212331244344,1212123312443434,1121233124434234,1212331244341234,1123212433412344,1231124324123434,1211233241234344,1112322412343434,1123214123434234,1231141234232344,1211312342323444
565	1112123423243344	16	1112123423243344,1121234231432434,1212341314223344,1123412132233444,1234121321324434,1231213213244344,1212132132443434,1121321324434234,1213213244341234,1122132433412344,1211324324123434,1112233241234344,1122331412342434,1213214123423344,1122131234233444,1211312342324434
566	1112123423243434	16	1112123423243434,1121234231434234,1212341314232344,1123412132323444,1234121323124434,1231213231244344,1212132312443434,1121323124434234,1213231244341234,1122312433412344,1213124324123434,1121233241234344,1212331412342434,1123214123423344,1231141234232434,1211312342324344
567	1112123423323444	16	1112123423323444,1121234233124434,1212341321243344,1123412212333444,1234121123324434,1231211233244344,1212112332443434,1121123324434234,1211233244341234,1112322433412344,1123214324123434,1231142231234344,1211322312343444,1112223123434434,1122131234344234,1211312342432344
568	1112123423324344	16	1112123423324344,1121234233142434,1212341321423344,1123412213233444,1234121132324434,1231211323244344,1212113232443434,1121132324434234,1211323244341234,1112232433412344,1122314324123434,1213142231234344,1121322312343444,1213213123424434,1122131234243344,1211312342432434
569	1112123423324434	16	1112123423324434,1121234233144234,1212341321432344,1123412213323444,1234121132234434,1231211322344344,1212113223443434,1121132234434234,1211322344341234,1112223433412344,1122134324123434,1211342231234344,1112322312343444,1123213123424434,1231121234243344,1211212342333444
