index	representative	orbit_size	orbit_words
27	1111222324343434	16	1111222324343434,1112223143434234,1122131434232344,1211314232323444,1112132323234444,1121323231244434,1213231212443344,1122312124333444,1213121243324434,1121212333244344,1212123331442434,1121233214423344,1212331144232434,1123211432324344,1231114223243434,1211132232434344
28	1111222332343444	16	1111222332343444,1112223313424434,1122133124243344,1211321242333444,1112212323334444,1122123133244434,1211231322443344,1112312224333444,1123122143324434,1231211432243344,1212113322433444,1121132224334434,1211322143344234,1112221333442344,1122113324423434,1211132243234344
29	1111222332344344	16	1111222332344344,1112223313442434,1122133124423344,1211321243233444,1112212332334444,1122123313244434,1211233122443344,1112321224333444,1123212143324434,1231121432243344,1211213322433444,1112132224334434,1121322143344234,1213211432432344,1122113324323444,1211132243234434
30	1111222332344434	16	1111222332344434,1112223313444234,1122133124432344,1211321243323444,1112212333234444,1122123331244434,1211233212443344,1112322124333444,1123211243324434,1231112432243344,1211123322433444,1111232224334434,1112322143344234,1123211432432344,1231114223323444,1211132233234444
31	1111222332433444	16	1111222332433444,1112223314324434,1122133142243344,1211321422333444,1112213223334444,1122132133244434,1211321322443344,1112213224333444,1122132143324434,1211321432243344,1112213322433444,1122133214324434,1211322143243344,1112221332433444,1122113324324434,1211132243243344
32	1111222332434344	16	1111222332434344,1112223314342434,1122133142423344,1211321423233444,1112213232334444,1122132313244434,1211323122443344,1112231224333444,1122312143324434,1213121432243344,1121213322433444,1212133214324434,1121322143243344,1213211432432434,1122113324324344,1211132243243434
33	1111222332434434	16	1111222332434434,1112223314344234,1122133142432344,1211321423323444,1112213233234444,1122132331244434,1211323212443344,1112232124333444,1122311243324434,1213112432243344,1121123322433444,1211233214324434,1112322143243344,1123211432432434,1231114223324344,1211132233243444
34	1111222332443344	16	1111222332443344,1112223314432434,1122133144223344,1211321432233444,1112213322334444,1122133213244434,1211322132443344,1112221324333444,1122113243324434,1211132432243344,1111223322433444,1112233214324434,1122331142243344,1213211422333444,1122113223334444,1211132233244434
35	1111222332443434	16	1111222332443434,1112223314434234,1122133144232344,1211321432323444,1112213323234444,1122133231244434,1211322312443344,1112223124333444,1122131243324434,1211312432243344,1112123322433444,1121233214324434,1212331142243344,1123211422333444,1231114223324434,1211132233244344
36	1111222333243444	16	1111222333243444,1112223331424434,1122133214243344,1211322142333444,1112221323334444,1122113233244434,1211132322443344,1111223224333444,1112232143324434,1122311432243344,1213114222333444,1121132223334444,1211322133244434,1112221332443344,1122113324432434,1211132243324344
37	1111222333423444	16	1111222333423444,1112223334124434,1122133241243344,1211322412333444,1112223123334444,1122131233244434,1211312322443344,1112123224333444,1121232143324434,1212311432243344,1123114222333444,1231142213324434,1211322133244344,1112221332443434,1122113324434234,1211132243342344
38	1111222333424344	16	1111222333424344,1112223334142434,1122133241423344,1211322413233444,1112223132334444,1122131323244434,1211312232443344,1112122324333444,1121223143324434,1212131432243344,1121314222333444,1213142213324434,1121322133244344,1213211322443434,1122113224334344,1211132243342434
39	1111222333424434	16	1111222333424434,1112223334144234,1122133241432344,1211322413323444,1112223133234444,1122131322344434,1211312223443344,1112122234333444,1121221343324434,1212113432243344,1121134222333444,1211342213324434,1112322133244344,1123211322443434,1231112224334344,1211122233343444
40	1111222333442344	16	1111222333442344,1112223334412434,1122133244123344,1211322431233444,1112223312334444,1122133123244434,1211321232443344,1112212324333444,1122123143324434,1211231432243344,1112314222333444,1123142213324434,1231421132243344,1213211322433444,1122113224334434,1211132243344234
41	1111222333442434	16	1111222333442434,1112223334414234,1122133244132344,1211322431323444,1112223313234444,1122133122344434,1211321223443344,1112212234333444,1122121343324434,1211213432243344,1112134222333444,1121342213324434,1213421132243344,1123211322433444,1231112224334434,1211122233344344
