class_index	representative_index_a	representative_index_b	w_global_index_a	w_word_a	transpose_word_a	value_a	status_a	double_trident_a	warning_a	active_term_count_a	discharged_term_count_a	elapsed_sec_a	w_global_index_b	w_word_b	transpose_word_b	value_b	status_b	double_trident_b	warning_b	active_term_count_b	discharged_term_count_b	elapsed_sec_b	double_trident_profile
329	778	1184	1036	1112213233423444	1231241323144234	1	fallback_evaluated_by_x_component_coloring	no		2	3	0.386	2329	1112312323424344	1231142233142434	-1	fallback_evaluated_by_x_component_coloring	no		1	6	3.440	neither
330	779	1482	1037	1112213233424344	1231241323142434	-1	fallback_evaluated_by_x_component_coloring	no		2	3	0.538	4751	1121232341423344	1213213214243434	1	fallback_evaluated_by_x_component_coloring	no		2	5	4.893	neither
331	780	1306	1038	1112213233424434	1231241323142344	-1	fallback_evaluated_by_x_component_coloring	no		1	3	0.042	3004	1112323414232434	1231122142334344	1	fallback_evaluated_by_x_component_coloring	no		1	6	4.575	neither
332	791	1078	1051	1112213234342434	1231241321324344	1	fallback_evaluated_by_x_component_coloring	no		1	4	0.195	2036	1112233421342344	1231212134324434	-1	fallback_evaluated_by_x_component_coloring	no		1	4	0.155	neither
333	796	1265	1061	1112213242343344	1231241314223434	1	fallback_evaluated_by_x_component_coloring	yes	WARNING: 3-strand relation used	3	5	0.024	2859	1112323124234344	1231122431432434	-1	fallback_evaluated_by_x_component_coloring	no		2	5	3.686	first_orientation_only
334	797	1044	1062	1112213242343434	1231241314223344	1	fallback_evaluated_by_x_component_coloring	yes	WARNING: 3-strand relation used	3	6	0.068	1881	1112233124234344	1231212431432434	-1	fallback_evaluated_by_x_component_coloring	no		2	4	2.390	first_orientation_only
335	799	1208	1065	1112213243234434	1231241312432344	-1	fallback_evaluated_by_x_component_coloring	yes	WARNING: 3-strand relation used	3	5	0.026	2378	1112312423234434	1231142132432344	1	fallback_evaluated_by_x_component_coloring	no		1	5	1.012	first_orientation_only
336	800	1470	1066	1112213243243344	1231241312423434	-1	fallback_evaluated_by_x_component_coloring	yes	WARNING: 3-strand relation used	9	12	11.204	4564	1121231342423434	1213214213243344	1	fallback_evaluated_by_x_component_coloring	no		1	6	3.211	first_orientation_only
337	802	1410	1074	1112213243423344	1231241312243434	-1	fallback_evaluated_by_x_component_coloring	no		5	4	20.624	3914	1121212323434344	1213243142132434	1	fallback_evaluated_by_x_component_coloring	no		1	5	1.242	neither
338	805	1315	1077	1112213243432434	1231241312234344	-1	fallback_evaluated_by_x_component_coloring	no		2	2	0.057	3034	1112323424132344	1231122132434434	1	fallback_evaluated_by_x_component_coloring	no		1	4	0.246	neither
339	809	1125	1094	1112213323424434	1231241233142344	1	fallback_evaluated_by_x_component_coloring	no		1	3	0.029	2136	1112234213423434	1231211342243344	-1	fallback_evaluated_by_x_component_coloring	no		1	6	3.270	neither
340	815	1256	1116	1112213342234434	1231241213432344	-1	fallback_evaluated_by_x_component_coloring	no		1	3	0.013	2569	1112321342342434	1231124213324344	1	fallback_evaluated_by_x_component_coloring	no		1	6	3.057	neither
341	816	1516	1117	1112213342243344	1231241213423434	1	fallback_evaluated_by_x_component_coloring	no		1	2	0.022	6390	1121342341223434	1213112224343344	-1	fallback_evaluated_by_x_component_coloring	no		1	8	10.580	neither
