index	word
1	1111222233334444
2	1111222233343444
3	1111222233344344
4	1111222233344434
5	1111222233433444
6	1111222233434344
7	1111222233434434
8	1111222233443344
9	1111222233443434
10	1111222234333444
11	1111222234334344
12	1111222234334434
13	1111222234343344
14	1111222234343434
15	1111222323334444
16	1111222323343444
17	1111222323344344
18	1111222323344434
19	1111222323433444
20	1111222323434344
21	1111222323434434
22	1111222323443344
23	1111222323443434
24	1111222324333444
25	1111222324334344
26	1111222324334434
27	1111222324343344
28	1111222324343434
29	1111222332334444
30	1111222332343444
31	1111222332344344
32	1111222332344434
33	1111222332433444
34	1111222332434344
35	1111222332434434
36	1111222332443344
37	1111222332443434
38	1111222333234444
39	1111222333243444
40	1111222333244344
41	1111222333244434
42	1111222333423444
43	1111222333424344
44	1111222333424434
45	1111222333442344
46	1111222333442434
47	1111222333444234
48	1111222334233444
49	1111222334234344
50	1111222334234434
51	1111222334243344
52	1111222334243434
53	1111222334323444
54	1111222334324344
55	1111222334324434
56	1111222334342344
57	1111222334342434
58	1111222334344234
59	1111222334423344
60	1111222334423434
61	1111222334432344
62	1111222334432434
63	1111222334434234
64	1111222342333444
65	1111222342334344
66	1111222342334434
67	1111222342343344
68	1111222342343434
69	1111222343233444
70	1111222343234344
71	1111222343234434
72	1111222343243344
73	1111222343243434
74	1111222343323444
75	1111222343324344
76	1111222343324434
77	1111222343342344
78	1111222343342434
79	1111222343344234
80	1111222343423344
81	1111222343423434
82	1111222343432344
83	1111222343432434
84	1111222343434234
85	1111223223334444
86	1111223223343444
87	1111223223344344
88	1111223223344434
89	1111223223433444
90	1111223223434344
91	1111223223434434
92	1111223223443344
93	1111223223443434
94	1111223224333444
95	1111223224334344
96	1111223224334434
97	1111223224343344
98	1111223224343434
99	1111223232334444
100	1111223232343444
101	1111223232344344
102	1111223232344434
103	1111223232433444
104	1111223232434344
105	1111223232434434
106	1111223232443344
107	1111223232443434
108	1111223233234444
109	1111223233243444
110	1111223233244344
111	1111223233244434
112	1111223233423444
113	1111223233424344
114	1111223233424434
115	1111223233442344
116	1111223233442434
117	1111223233444234
118	1111223234233444
119	1111223234234344
120	1111223234234434
121	1111223234243344
122	1111223234243434
123	1111223234323444
124	1111223234324344
125	1111223234324434
126	1111223234342344
127	1111223234342434
128	1111223234344234
129	1111223234423344
130	1111223234423434
131	1111223234432344
132	1111223234432434
133	1111223234434234
134	1111223242333444
135	1111223242334344
136	1111223242334434
137	1111223242343344
138	1111223242343434
139	1111223243233444
140	1111223243234344
141	1111223243234434
142	1111223243243344
143	1111223243243434
144	1111223243323444
145	1111223243324344
146	1111223243324434
147	1111223243342344
148	1111223243342434
149	1111223243344234
150	1111223243423344
151	1111223243423434
