index	original_representative	transpose_word	original_tableau	transpose_tableau
367	1111232434223434	1234112122343344	[[1,2,3,4],[5,7,11,12],[6,9,13,15],[8,10,14,16]]	[[1,5,6,8],[2,7,9,10],[3,11,13,14],[4,12,15,16]]
368	1111232434232344	1234112122334434	[[1,2,3,4],[5,7,11,13],[6,9,12,14],[8,10,15,16]]	[[1,5,6,8],[2,7,9,10],[3,11,12,15],[4,13,14,16]]
369	1111232434232434	1234112122334344	[[1,2,3,4],[5,7,11,13],[6,9,12,15],[8,10,14,16]]	[[1,5,6,8],[2,7,9,10],[3,11,12,14],[4,13,15,16]]
370	1111232434234234	1234112122333444	[[1,2,3,4],[5,7,11,14],[6,9,12,15],[8,10,13,16]]	[[1,5,6,8],[2,7,9,10],[3,11,12,13],[4,14,15,16]]
371	1111234223233444	1234111232434234	[[1,2,3,4],[5,8,9,11],[6,10,12,13],[7,14,15,16]]	[[1,5,6,7],[2,8,10,14],[3,9,12,15],[4,11,13,16]]
372	1111234223234344	1234111232432434	[[1,2,3,4],[5,8,9,11],[6,10,12,14],[7,13,15,16]]	[[1,5,6,7],[2,8,10,13],[3,9,12,15],[4,11,14,16]]
373	1111234223234434	1234111232432344	[[1,2,3,4],[5,8,9,11],[6,10,12,15],[7,13,14,16]]	[[1,5,6,7],[2,8,10,13],[3,9,12,14],[4,11,15,16]]
374	1111234223243344	1234111232423434	[[1,2,3,4],[5,8,9,11],[6,10,13,14],[7,12,15,16]]	[[1,5,6,7],[2,8,10,12],[3,9,13,15],[4,11,14,16]]
375	1111234223243434	1234111232423344	[[1,2,3,4],[5,8,9,11],[6,10,13,15],[7,12,14,16]]	[[1,5,6,7],[2,8,10,12],[3,9,13,14],[4,11,15,16]]
376	1111234223323444	1234111232344234	[[1,2,3,4],[5,8,9,12],[6,10,11,13],[7,14,15,16]]	[[1,5,6,7],[2,8,10,14],[3,9,11,15],[4,12,13,16]]
377	1111234223324344	1234111232342434	[[1,2,3,4],[5,8,9,12],[6,10,11,14],[7,13,15,16]]	[[1,5,6,7],[2,8,10,13],[3,9,11,15],[4,12,14,16]]
378	1111234223324434	1234111232342344	[[1,2,3,4],[5,8,9,12],[6,10,11,15],[7,13,14,16]]	[[1,5,6,7],[2,8,10,13],[3,9,11,14],[4,12,15,16]]
379	1111234223342344	1234111232324434	[[1,2,3,4],[5,8,9,13],[6,10,11,14],[7,12,15,16]]	[[1,5,6,7],[2,8,10,12],[3,9,11,15],[4,13,14,16]]
380	1111234223342434	1234111232324344	[[1,2,3,4],[5,8,9,13],[6,10,11,15],[7,12,14,16]]	[[1,5,6,7],[2,8,10,12],[3,9,11,14],[4,13,15,16]]
381	1111234223344234	1234111232323444	[[1,2,3,4],[5,8,9,14],[6,10,11,15],[7,12,13,16]]	[[1,5,6,7],[2,8,10,12],[3,9,11,13],[4,14,15,16]]
382	1111234223423344	1234111232243434	[[1,2,3,4],[5,8,9,12],[6,10,13,14],[7,11,15,16]]	[[1,5,6,7],[2,8,10,11],[3,9,13,15],[4,12,14,16]]
383	1111234223423434	1234111232243344	[[1,2,3,4],[5,8,9,12],[6,10,13,15],[7,11,14,16]]	[[1,5,6,7],[2,8,10,11],[3,9,13,14],[4,12,15,16]]
384	1111234223432344	1234111232234434	[[1,2,3,4],[5,8,9,13],[6,10,12,14],[7,11,15,16]]	[[1,5,6,7],[2,8,10,11],[3,9,12,15],[4,13,14,16]]
385	1111234223432434	1234111232234344	[[1,2,3,4],[5,8,9,13],[6,10,12,15],[7,11,14,16]]	[[1,5,6,7],[2,8,10,11],[3,9,12,14],[4,13,15,16]]
386	1111234223434234	1234111232233444	[[1,2,3,4],[5,8,9,14],[6,10,12,15],[7,11,13,16]]	[[1,5,6,7],[2,8,10,11],[3,9,12,13],[4,14,15,16]]
387	1111234232233444	1234111223434234	[[1,2,3,4],[5,8,10,11],[6,9,12,13],[7,14,15,16]]	[[1,5,6,7],[2,8,9,14],[3,10,12,15],[4,11,13,16]]
388	1111234232234344	1234111223432434	[[1,2,3,4],[5,8,10,11],[6,9,12,14],[7,13,15,16]]	[[1,5,6,7],[2,8,9,13],[3,10,12,15],[4,11,14,16]]
389	1111234232234434	1234111223432344	[[1,2,3,4],[5,8,10,11],[6,9,12,15],[7,13,14,16]]	[[1,5,6,7],[2,8,9,13],[3,10,12,14],[4,11,15,16]]
390	1111234232243344	1234111223423434	[[1,2,3,4],[5,8,10,11],[6,9,13,14],[7,12,15,16]]	[[1,5,6,7],[2,8,9,12],[3,10,13,15],[4,11,14,16]]
391	1111234232243434	1234111223423344	[[1,2,3,4],[5,8,10,11],[6,9,13,15],[7,12,14,16]]	[[1,5,6,7],[2,8,9,12],[3,10,13,14],[4,11,15,16]]
392	1111234232323444	1234111223344234	[[1,2,3,4],[5,8,10,12],[6,9,11,13],[7,14,15,16]]	[[1,5,6,7],[2,8,9,14],[3,10,11,15],[4,12,13,16]]
393	1111234232324344	1234111223342434	[[1,2,3,4],[5,8,10,12],[6,9,11,14],[7,13,15,16]]	[[1,5,6,7],[2,8,9,13],[3,10,11,15],[4,12,14,16]]
394	1111234232324434	1234111223342344	[[1,2,3,4],[5,8,10,12],[6,9,11,15],[7,13,14,16]]	[[1,5,6,7],[2,8,9,13],[3,10,11,14],[4,12,15,16]]
395	1111234232342344	1234111223324434	[[1,2,3,4],[5,8,10,13],[6,9,11,14],[7,12,15,16]]	[[1,5,6,7],[2,8,9,12],[3,10,11,15],[4,13,14,16]]
396	1111234232342434	1234111223324344	[[1,2,3,4],[5,8,10,13],[6,9,11,15],[7,12,14,16]]	[[1,5,6,7],[2,8,9,12],[3,10,11,14],[4,13,15,16]]
397	1111234232344234	1234111223323444	[[1,2,3,4],[5,8,10,14],[6,9,11,15],[7,12,13,16]]	[[1,5,6,7],[2,8,9,12],[3,10,11,13],[4,14,15,16]]
398	1111234232423344	1234111223243434	[[1,2,3,4],[5,8,10,12],[6,9,13,14],[7,11,15,16]]	[[1,5,6,7],[2,8,9,11],[3,10,13,15],[4,12,14,16]]
399	1111234232423434	1234111223243344	[[1,2,3,4],[5,8,10,12],[6,9,13,15],[7,11,14,16]]	[[1,5,6,7],[2,8,9,11],[3,10,13,14],[4,12,15,16]]
400	1111234232432344	1234111223234434	[[1,2,3,4],[5,8,10,13],[6,9,12,14],[7,11,15,16]]	[[1,5,6,7],[2,8,9,11],[3,10,12,15],[4,13,14,16]]
401	1111234232432434	1234111223234344	[[1,2,3,4],[5,8,10,13],[6,9,12,15],[7,11,14,16]]	[[1,5,6,7],[2,8,9,11],[3,10,12,14],[4,13,15,16]]
402	1111234232434234	1234111223233444	[[1,2,3,4],[5,8,10,14],[6,9,12,15],[7,11,13,16]]	[[1,5,6,7],[2,8,9,11],[3,10,12,13],[4,14,15,16]]
403	1111234234223344	1234111222343434	[[1,2,3,4],[5,8,11,12],[6,9,13,14],[7,10,15,16]]	[[1,5,6,7],[2,8,9,10],[3,11,13,15],[4,12,14,16]]
404	1111234234223434	1234111222343344	[[1,2,3,4],[5,8,11,12],[6,9,13,15],[7,10,14,16]]	[[1,5,6,7],[2,8,9,10],[3,11,13,14],[4,12,15,16]]
405	1111234234232344	1234111222334434	[[1,2,3,4],[5,8,11,13],[6,9,12,14],[7,10,15,16]]	[[1,5,6,7],[2,8,9,10],[3,11,12,15],[4,13,14,16]]
406	1111234234232434	1234111222334344	[[1,2,3,4],[5,8,11,13],[6,9,12,15],[7,10,14,16]]	[[1,5,6,7],[2,8,9,10],[3,11,12,14],[4,13,15,16]]
407	1111234234234234	1234111222333444	[[1,2,3,4],[5,8,11,14],[6,9,12,15],[7,10,13,16]]	[[1,5,6,7],[2,8,9,10],[3,11,12,13],[4,14,15,16]]
408	1112122233343444	1231423412314234	[[1,2,3,5],[4,6,7,8],[9,10,11,13],[12,14,15,16]]	[[1,4,9,12],[2,6,10,14],[3,7,11,15],[5,8,13,16]]
409	1112122233344344	1231423412312434	[[1,2,3,5],[4,6,7,8],[9,10,11,14],[12,13,15,16]]	[[1,4,9,12],[2,6,10,13],[3,7,11,15],[5,8,14,16]]
410	1112122233433444	1231423412134234	[[1,2,3,5],[4,6,7,8],[9,10,12,13],[11,14,15,16]]	[[1,4,9,11],[2,6,10,14],[3,7,12,15],[5,8,13,16]]
411	1112122233434344	1231423412132434	[[1,2,3,5],[4,6,7,8],[9,10,12,14],[11,13,15,16]]	[[1,4,9,11],[2,6,10,13],[3,7,12,15],[5,8,14,16]]
412	1112122233434434	1231423412132344	[[1,2,3,5],[4,6,7,8],[9,10,12,15],[11,13,14,16]]	[[1,4,9,11],[2,6,10,13],[3,7,12,14],[5,8,15,16]]
413	1112122233443434	1231423412123344	[[1,2,3,5],[4,6,7,8],[9,10,13,15],[11,12,14,16]]	[[1,4,9,11],[2,6,10,12],[3,7,13,14],[5,8,15,16]]
414	1112122234334344	1231423411232434	[[1,2,3,5],[4,6,7,8],[9,11,12,14],[10,13,15,16]]	[[1,4,9,10],[2,6,11,13],[3,7,12,15],[5,8,14,16]]
415	1112122234334434	1231423411232344	[[1,2,3,5],[4,6,7,8],[9,11,12,15],[10,13,14,16]]	[[1,4,9,10],[2,6,11,13],[3,7,12,14],[5,8,15,16]]
416	1112122234343344	1231423411223434	[[1,2,3,5],[4,6,7,8],[9,11,13,14],[10,12,15,16]]	[[1,4,9,10],[2,6,11,12],[3,7,13,15],[5,8,14,16]]
417	1112122234343434	1231423411223344	[[1,2,3,5],[4,6,7,8],[9,11,13,15],[10,12,14,16]]	[[1,4,9,10],[2,6,11,12],[3,7,13,14],[5,8,15,16]]
418	1112122323343444	1231423142314234	[[1,2,3,5],[4,6,7,9],[8,10,11,13],[12,14,15,16]]	[[1,4,8,12],[2,6,10,14],[3,7,11,15],[5,9,13,16]]
419	1112122323344344	1231423142312434	[[1,2,3,5],[4,6,7,9],[8,10,11,14],[12,13,15,16]]	[[1,4,8,12],[2,6,10,13],[3,7,11,15],[5,9,14,16]]
420	1112122323433444	1231423142134234	[[1,2,3,5],[4,6,7,9],[8,10,12,13],[11,14,15,16]]	[[1,4,8,11],[2,6,10,14],[3,7,12,15],[5,9,13,16]]
421	1112122323434344	1231423142132434	[[1,2,3,5],[4,6,7,9],[8,10,12,14],[11,13,15,16]]	[[1,4,8,11],[2,6,10,13],[3,7,12,15],[5,9,14,16]]
422	1112122323434434	1231423142132344	[[1,2,3,5],[4,6,7,9],[8,10,12,15],[11,13,14,16]]	[[1,4,8,11],[2,6,10,13],[3,7,12,14],[5,9,15,16]]
423	1112122323443434	1231423142123344	[[1,2,3,5],[4,6,7,9],[8,10,13,15],[11,12,14,16]]	[[1,4,8,11],[2,6,10,12],[3,7,13,14],[5,9,15,16]]
424	1112122324334344	1231423141232434	[[1,2,3,5],[4,6,7,9],[8,11,12,14],[10,13,15,16]]	[[1,4,8,10],[2,6,11,13],[3,7,12,15],[5,9,14,16]]
425	1112122324334434	1231423141232344	[[1,2,3,5],[4,6,7,9],[8,11,12,15],[10,13,14,16]]	[[1,4,8,10],[2,6,11,13],[3,7,12,14],[5,9,15,16]]
426	1112122324343344	1231423141223434	[[1,2,3,5],[4,6,7,9],[8,11,13,14],[10,12,15,16]]	[[1,4,8,10],[2,6,11,12],[3,7,13,15],[5,9,14,16]]
427	1112122324343434	1231423141223344	[[1,2,3,5],[4,6,7,9],[8,11,13,15],[10,12,14,16]]	[[1,4,8,10],[2,6,11,12],[3,7,13,14],[5,9,15,16]]
428	1112122332343444	1231423124314234	[[1,2,3,5],[4,6,7,10],[8,9,11,13],[12,14,15,16]]	[[1,4,8,12],[2,6,9,14],[3,7,11,15],[5,10,13,16]]
429	1112122332344344	1231423124312434	[[1,2,3,5],[4,6,7,10],[8,9,11,14],[12,13,15,16]]	[[1,4,8,12],[2,6,9,13],[3,7,11,15],[5,10,14,16]]
430	1112122332433444	1231423124134234	[[1,2,3,5],[4,6,7,10],[8,9,12,13],[11,14,15,16]]	[[1,4,8,11],[2,6,9,14],[3,7,12,15],[5,10,13,16]]
431	1112122332434344	1231423124132434	[[1,2,3,5],[4,6,7,10],[8,9,12,14],[11,13,15,16]]	[[1,4,8,11],[2,6,9,13],[3,7,12,15],[5,10,14,16]]
432	1112122332434434	1231423124132344	[[1,2,3,5],[4,6,7,10],[8,9,12,15],[11,13,14,16]]	[[1,4,8,11],[2,6,9,13],[3,7,12,14],[5,10,15,16]]
433	1112122332443434	1231423124123344	[[1,2,3,5],[4,6,7,10],[8,9,13,15],[11,12,14,16]]	[[1,4,8,11],[2,6,9,12],[3,7,13,14],[5,10,15,16]]
434	1112122333423444	1231423123144234	[[1,2,3,5],[4,6,7,12],[8,9,10,13],[11,14,15,16]]	[[1,4,8,11],[2,6,9,14],[3,7,10,15],[5,12,13,16]]
435	1112122333442344	1231423123124434	[[1,2,3,5],[4,6,7,13],[8,9,10,14],[11,12,15,16]]	[[1,4,8,11],[2,6,9,12],[3,7,10,15],[5,13,14,16]]
436	1112122333442434	1231423123124344	[[1,2,3,5],[4,6,7,13],[8,9,10,15],[11,12,14,16]]	[[1,4,8,11],[2,6,9,12],[3,7,10,14],[5,13,15,16]]
437	1112122334233444	1231423121434234	[[1,2,3,5],[4,6,7,11],[8,9,12,13],[10,14,15,16]]	[[1,4,8,10],[2,6,9,14],[3,7,12,15],[5,11,13,16]]
438	1112122334234344	1231423121432434	[[1,2,3,5],[4,6,7,11],[8,9,12,14],[10,13,15,16]]	[[1,4,8,10],[2,6,9,13],[3,7,12,15],[5,11,14,16]]
439	1112122334234434	1231423121432344	[[1,2,3,5],[4,6,7,11],[8,9,12,15],[10,13,14,16]]	[[1,4,8,10],[2,6,9,13],[3,7,12,14],[5,11,15,16]]
440	1112122334243344	1231423121423434	[[1,2,3,5],[4,6,7,11],[8,9,13,14],[10,12,15,16]]	[[1,4,8,10],[2,6,9,12],[3,7,13,15],[5,11,14,16]]
441	1112122334243434	1231423121423344	[[1,2,3,5],[4,6,7,11],[8,9,13,15],[10,12,14,16]]	[[1,4,8,10],[2,6,9,12],[3,7,13,14],[5,11,15,16]]
442	1112122334323444	1231423121344234	[[1,2,3,5],[4,6,7,12],[8,9,11,13],[10,14,15,16]]	[[1,4,8,10],[2,6,9,14],[3,7,11,15],[5,12,13,16]]
443	1112122334324344	1231423121342434	[[1,2,3,5],[4,6,7,12],[8,9,11,14],[10,13,15,16]]	[[1,4,8,10],[2,6,9,13],[3,7,11,15],[5,12,14,16]]
444	1112122334324434	1231423121342344	[[1,2,3,5],[4,6,7,12],[8,9,11,15],[10,13,14,16]]	[[1,4,8,10],[2,6,9,13],[3,7,11,14],[5,12,15,16]]
445	1112122334342344	1231423121324434	[[1,2,3,5],[4,6,7,13],[8,9,11,14],[10,12,15,16]]	[[1,4,8,10],[2,6,9,12],[3,7,11,15],[5,13,14,16]]
446	1112122334342434	1231423121324344	[[1,2,3,5],[4,6,7,13],[8,9,11,15],[10,12,14,16]]	[[1,4,8,10],[2,6,9,12],[3,7,11,14],[5,13,15,16]]
447	1112122334344234	1231423121323444	[[1,2,3,5],[4,6,7,14],[8,9,11,15],[10,12,13,16]]	[[1,4,8,10],[2,6,9,12],[3,7,11,13],[5,14,15,16]]
448	1112122334423344	1231423121243434	[[1,2,3,5],[4,6,7,12],[8,9,13,14],[10,11,15,16]]	[[1,4,8,10],[2,6,9,11],[3,7,13,15],[5,12,14,16]]
449	1112122334423434	1231423121243344	[[1,2,3,5],[4,6,7,12],[8,9,13,15],[10,11,14,16]]	[[1,4,8,10],[2,6,9,11],[3,7,13,14],[5,12,15,16]]
450	1112122334434234	1231423121233444	[[1,2,3,5],[4,6,7,14],[8,9,12,15],[10,11,13,16]]	[[1,4,8,10],[2,6,9,11],[3,7,12,13],[5,14,15,16]]
451	1112122342333444	1231423114234234	[[1,2,3,5],[4,6,7,10],[8,11,12,13],[9,14,15,16]]	[[1,4,8,9],[2,6,11,14],[3,7,12,15],[5,10,13,16]]
452	1112122342334344	1231423114232434	[[1,2,3,5],[4,6,7,10],[8,11,12,14],[9,13,15,16]]	[[1,4,8,9],[2,6,11,13],[3,7,12,15],[5,10,14,16]]
453	1112122342334434	1231423114232344	[[1,2,3,5],[4,6,7,10],[8,11,12,15],[9,13,14,16]]	[[1,4,8,9],[2,6,11,13],[3,7,12,14],[5,10,15,16]]
454	1112122342343344	1231423114223434	[[1,2,3,5],[4,6,7,10],[8,11,13,14],[9,12,15,16]]	[[1,4,8,9],[2,6,11,12],[3,7,13,15],[5,10,14,16]]
455	1112122342343434	1231423114223344	[[1,2,3,5],[4,6,7,10],[8,11,13,15],[9,12,14,16]]	[[1,4,8,9],[2,6,11,12],[3,7,13,14],[5,10,15,16]]
456	1112122343233444	1231423112434234	[[1,2,3,5],[4,6,7,11],[8,10,12,13],[9,14,15,16]]	[[1,4,8,9],[2,6,10,14],[3,7,12,15],[5,11,13,16]]
457	1112122343234344	1231423112432434	[[1,2,3,5],[4,6,7,11],[8,10,12,14],[9,13,15,16]]	[[1,4,8,9],[2,6,10,13],[3,7,12,15],[5,11,14,16]]
458	1112122343234434	1231423112432344	[[1,2,3,5],[4,6,7,11],[8,10,12,15],[9,13,14,16]]	[[1,4,8,9],[2,6,10,13],[3,7,12,14],[5,11,15,16]]
459	1112122343243344	1231423112423434	[[1,2,3,5],[4,6,7,11],[8,10,13,14],[9,12,15,16]]	[[1,4,8,9],[2,6,10,12],[3,7,13,15],[5,11,14,16]]
460	1112122343243434	1231423112423344	[[1,2,3,5],[4,6,7,11],[8,10,13,15],[9,12,14,16]]	[[1,4,8,9],[2,6,10,12],[3,7,13,14],[5,11,15,16]]
461	1112122343342344	1231423112324434	[[1,2,3,5],[4,6,7,13],[8,10,11,14],[9,12,15,16]]	[[1,4,8,9],[2,6,10,12],[3,7,11,15],[5,13,14,16]]
462	1112122343342434	1231423112324344	[[1,2,3,5],[4,6,7,13],[8,10,11,15],[9,12,14,16]]	[[1,4,8,9],[2,6,10,12],[3,7,11,14],[5,13,15,16]]
463	1112122343344234	1231423112323444	[[1,2,3,5],[4,6,7,14],[8,10,11,15],[9,12,13,16]]	[[1,4,8,9],[2,6,10,12],[3,7,11,13],[5,14,15,16]]
464	1112122343423344	1231423112243434	[[1,2,3,5],[4,6,7,12],[8,10,13,14],[9,11,15,16]]	[[1,4,8,9],[2,6,10,11],[3,7,13,15],[5,12,14,16]]
465	1112122343423434	1231423112243344	[[1,2,3,5],[4,6,7,12],[8,10,13,15],[9,11,14,16]]	[[1,4,8,9],[2,6,10,11],[3,7,13,14],[5,12,15,16]]
466	1112122343432344	1231423112234434	[[1,2,3,5],[4,6,7,13],[8,10,12,14],[9,11,15,16]]	[[1,4,8,9],[2,6,10,11],[3,7,12,15],[5,13,14,16]]
467	1112122343432434	1231423112234344	[[1,2,3,5],[4,6,7,13],[8,10,12,15],[9,11,14,16]]	[[1,4,8,9],[2,6,10,11],[3,7,12,14],[5,13,15,16]]
468	1112122343434234	1231423112233444	[[1,2,3,5],[4,6,7,14],[8,10,12,15],[9,11,13,16]]	[[1,4,8,9],[2,6,10,11],[3,7,12,13],[5,14,15,16]]
469	1112123223343444	1231421342314234	[[1,2,3,5],[4,6,8,9],[7,10,11,13],[12,14,15,16]]	[[1,4,7,12],[2,6,10,14],[3,8,11,15],[5,9,13,16]]
470	1112123223344344	1231421342312434	[[1,2,3,5],[4,6,8,9],[7,10,11,14],[12,13,15,16]]	[[1,4,7,12],[2,6,10,13],[3,8,11,15],[5,9,14,16]]
471	1112123223433444	1231421342134234	[[1,2,3,5],[4,6,8,9],[7,10,12,13],[11,14,15,16]]	[[1,4,7,11],[2,6,10,14],[3,8,12,15],[5,9,13,16]]
472	1112123223434344	1231421342132434	[[1,2,3,5],[4,6,8,9],[7,10,12,14],[11,13,15,16]]	[[1,4,7,11],[2,6,10,13],[3,8,12,15],[5,9,14,16]]
473	1112123223434434	1231421342132344	[[1,2,3,5],[4,6,8,9],[7,10,12,15],[11,13,14,16]]	[[1,4,7,11],[2,6,10,13],[3,8,12,14],[5,9,15,16]]
474	1112123223443434	1231421342123344	[[1,2,3,5],[4,6,8,9],[7,10,13,15],[11,12,14,16]]	[[1,4,7,11],[2,6,10,12],[3,8,13,14],[5,9,15,16]]
475	1112123224334434	1231421341232344	[[1,2,3,5],[4,6,8,9],[7,11,12,15],[10,13,14,16]]	[[1,4,7,10],[2,6,11,13],[3,8,12,14],[5,9,15,16]]
476	1112123224343344	1231421341223434	[[1,2,3,5],[4,6,8,9],[7,11,13,14],[10,12,15,16]]	[[1,4,7,10],[2,6,11,12],[3,8,13,15],[5,9,14,16]]
477	1112123224343434	1231421341223344	[[1,2,3,5],[4,6,8,9],[7,11,13,15],[10,12,14,16]]	[[1,4,7,10],[2,6,11,12],[3,8,13,14],[5,9,15,16]]
478	1112123232343444	1231421324314234	[[1,2,3,5],[4,6,8,10],[7,9,11,13],[12,14,15,16]]	[[1,4,7,12],[2,6,9,14],[3,8,11,15],[5,10,13,16]]
479	1112123232344344	1231421324312434	[[1,2,3,5],[4,6,8,10],[7,9,11,14],[12,13,15,16]]	[[1,4,7,12],[2,6,9,13],[3,8,11,15],[5,10,14,16]]
480	1112123232433444	1231421324134234	[[1,2,3,5],[4,6,8,10],[7,9,12,13],[11,14,15,16]]	[[1,4,7,11],[2,6,9,14],[3,8,12,15],[5,10,13,16]]
481	1112123232434344	1231421324132434	[[1,2,3,5],[4,6,8,10],[7,9,12,14],[11,13,15,16]]	[[1,4,7,11],[2,6,9,13],[3,8,12,15],[5,10,14,16]]
482	1112123232434434	1231421324132344	[[1,2,3,5],[4,6,8,10],[7,9,12,15],[11,13,14,16]]	[[1,4,7,11],[2,6,9,13],[3,8,12,14],[5,10,15,16]]
483	1112123232443434	1231421324123344	[[1,2,3,5],[4,6,8,10],[7,9,13,15],[11,12,14,16]]	[[1,4,7,11],[2,6,9,12],[3,8,13,14],[5,10,15,16]]
484	1112123233243444	1231421323414234	[[1,2,3,5],[4,6,8,11],[7,9,10,13],[12,14,15,16]]	[[1,4,7,12],[2,6,9,14],[3,8,10,15],[5,11,13,16]]
485	1112123233244344	1231421323412434	[[1,2,3,5],[4,6,8,11],[7,9,10,14],[12,13,15,16]]	[[1,4,7,12],[2,6,9,13],[3,8,10,15],[5,11,14,16]]
486	1112123233423444	1231421323144234	[[1,2,3,5],[4,6,8,12],[7,9,10,13],[11,14,15,16]]	[[1,4,7,11],[2,6,9,14],[3,8,10,15],[5,12,13,16]]
487	1112123233424344	1231421323142434	[[1,2,3,5],[4,6,8,12],[7,9,10,14],[11,13,15,16]]	[[1,4,7,11],[2,6,9,13],[3,8,10,15],[5,12,14,16]]
488	1112123233424434	1231421323142344	[[1,2,3,5],[4,6,8,12],[7,9,10,15],[11,13,14,16]]	[[1,4,7,11],[2,6,9,13],[3,8,10,14],[5,12,15,16]]
489	1112123233442344	1231421323124434	[[1,2,3,5],[4,6,8,13],[7,9,10,14],[11,12,15,16]]	[[1,4,7,11],[2,6,9,12],[3,8,10,15],[5,13,14,16]]
490	1112123233442434	1231421323124344	[[1,2,3,5],[4,6,8,13],[7,9,10,15],[11,12,14,16]]	[[1,4,7,11],[2,6,9,12],[3,8,10,14],[5,13,15,16]]
491	1112123234233444	1231421321434234	[[1,2,3,5],[4,6,8,11],[7,9,12,13],[10,14,15,16]]	[[1,4,7,10],[2,6,9,14],[3,8,12,15],[5,11,13,16]]
492	1112123234234344	1231421321432434	[[1,2,3,5],[4,6,8,11],[7,9,12,14],[10,13,15,16]]	[[1,4,7,10],[2,6,9,13],[3,8,12,15],[5,11,14,16]]
493	1112123234234434	1231421321432344	[[1,2,3,5],[4,6,8,11],[7,9,12,15],[10,13,14,16]]	[[1,4,7,10],[2,6,9,13],[3,8,12,14],[5,11,15,16]]
494	1112123234243344	1231421321423434	[[1,2,3,5],[4,6,8,11],[7,9,13,14],[10,12,15,16]]	[[1,4,7,10],[2,6,9,12],[3,8,13,15],[5,11,14,16]]
495	1112123234243434	1231421321423344	[[1,2,3,5],[4,6,8,11],[7,9,13,15],[10,12,14,16]]	[[1,4,7,10],[2,6,9,12],[3,8,13,14],[5,11,15,16]]
496	1112123234323444	1231421321344234	[[1,2,3,5],[4,6,8,12],[7,9,11,13],[10,14,15,16]]	[[1,4,7,10],[2,6,9,14],[3,8,11,15],[5,12,13,16]]
497	1112123234324344	1231421321342434	[[1,2,3,5],[4,6,8,12],[7,9,11,14],[10,13,15,16]]	[[1,4,7,10],[2,6,9,13],[3,8,11,15],[5,12,14,16]]
498	1112123234324434	1231421321342344	[[1,2,3,5],[4,6,8,12],[7,9,11,15],[10,13,14,16]]	[[1,4,7,10],[2,6,9,13],[3,8,11,14],[5,12,15,16]]
499	1112123234342344	1231421321324434	[[1,2,3,5],[4,6,8,13],[7,9,11,14],[10,12,15,16]]	[[1,4,7,10],[2,6,9,12],[3,8,11,15],[5,13,14,16]]
500	1112123234342434	1231421321324344	[[1,2,3,5],[4,6,8,13],[7,9,11,15],[10,12,14,16]]	[[1,4,7,10],[2,6,9,12],[3,8,11,14],[5,13,15,16]]
501	1112123234344234	1231421321323444	[[1,2,3,5],[4,6,8,14],[7,9,11,15],[10,12,13,16]]	[[1,4,7,10],[2,6,9,12],[3,8,11,13],[5,14,15,16]]
502	1112123234423344	1231421321243434	[[1,2,3,5],[4,6,8,12],[7,9,13,14],[10,11,15,16]]	[[1,4,7,10],[2,6,9,11],[3,8,13,15],[5,12,14,16]]
503	1112123234423434	1231421321243344	[[1,2,3,5],[4,6,8,12],[7,9,13,15],[10,11,14,16]]	[[1,4,7,10],[2,6,9,11],[3,8,13,14],[5,12,15,16]]
504	1112123234434234	1231421321233444	[[1,2,3,5],[4,6,8,14],[7,9,12,15],[10,11,13,16]]	[[1,4,7,10],[2,6,9,11],[3,8,12,13],[5,14,15,16]]
505	1112123242333444	1231421314234234	[[1,2,3,5],[4,6,8,10],[7,11,12,13],[9,14,15,16]]	[[1,4,7,9],[2,6,11,14],[3,8,12,15],[5,10,13,16]]
506	1112123242334344	1231421314232434	[[1,2,3,5],[4,6,8,10],[7,11,12,14],[9,13,15,16]]	[[1,4,7,9],[2,6,11,13],[3,8,12,15],[5,10,14,16]]
507	1112123242334434	1231421314232344	[[1,2,3,5],[4,6,8,10],[7,11,12,15],[9,13,14,16]]	[[1,4,7,9],[2,6,11,13],[3,8,12,14],[5,10,15,16]]
508	1112123242343344	1231421314223434	[[1,2,3,5],[4,6,8,10],[7,11,13,14],[9,12,15,16]]	[[1,4,7,9],[2,6,11,12],[3,8,13,15],[5,10,14,16]]
509	1112123242343434	1231421314223344	[[1,2,3,5],[4,6,8,10],[7,11,13,15],[9,12,14,16]]	[[1,4,7,9],[2,6,11,12],[3,8,13,14],[5,10,15,16]]
510	1112123243233444	1231421312434234	[[1,2,3,5],[4,6,8,11],[7,10,12,13],[9,14,15,16]]	[[1,4,7,9],[2,6,10,14],[3,8,12,15],[5,11,13,16]]
511	1112123243234344	1231421312432434	[[1,2,3,5],[4,6,8,11],[7,10,12,14],[9,13,15,16]]	[[1,4,7,9],[2,6,10,13],[3,8,12,15],[5,11,14,16]]
512	1112123243234434	1231421312432344	[[1,2,3,5],[4,6,8,11],[7,10,12,15],[9,13,14,16]]	[[1,4,7,9],[2,6,10,13],[3,8,12,14],[5,11,15,16]]
513	1112123243243344	1231421312423434	[[1,2,3,5],[4,6,8,11],[7,10,13,14],[9,12,15,16]]	[[1,4,7,9],[2,6,10,12],[3,8,13,15],[5,11,14,16]]
514	1112123243243434	1231421312423344	[[1,2,3,5],[4,6,8,11],[7,10,13,15],[9,12,14,16]]	[[1,4,7,9],[2,6,10,12],[3,8,13,14],[5,11,15,16]]
