index	original_representative	transpose_word	original_tableau	transpose_tableau
34	1111222332443344	1234123124123434	[[1,2,3,4],[5,6,7,10],[8,9,13,14],[11,12,15,16]]	[[1,5,8,11],[2,6,9,12],[3,7,13,15],[4,10,14,16]]
35	1111222332443434	1234123124123344	[[1,2,3,4],[5,6,7,10],[8,9,13,15],[11,12,14,16]]	[[1,5,8,11],[2,6,9,12],[3,7,13,14],[4,10,15,16]]
36	1111222333243444	1234123123414234	[[1,2,3,4],[5,6,7,11],[8,9,10,13],[12,14,15,16]]	[[1,5,8,12],[2,6,9,14],[3,7,10,15],[4,11,13,16]]
37	1111222333423444	1234123123144234	[[1,2,3,4],[5,6,7,12],[8,9,10,13],[11,14,15,16]]	[[1,5,8,11],[2,6,9,14],[3,7,10,15],[4,12,13,16]]
38	1111222333424344	1234123123142434	[[1,2,3,4],[5,6,7,12],[8,9,10,14],[11,13,15,16]]	[[1,5,8,11],[2,6,9,13],[3,7,10,15],[4,12,14,16]]
39	1111222333424434	1234123123142344	[[1,2,3,4],[5,6,7,12],[8,9,10,15],[11,13,14,16]]	[[1,5,8,11],[2,6,9,13],[3,7,10,14],[4,12,15,16]]
40	1111222333442344	1234123123124434	[[1,2,3,4],[5,6,7,13],[8,9,10,14],[11,12,15,16]]	[[1,5,8,11],[2,6,9,12],[3,7,10,15],[4,13,14,16]]
41	1111222333442434	1234123123124344	[[1,2,3,4],[5,6,7,13],[8,9,10,15],[11,12,14,16]]	[[1,5,8,11],[2,6,9,12],[3,7,10,14],[4,13,15,16]]
42	1111222333444234	1234123123123444	[[1,2,3,4],[5,6,7,14],[8,9,10,15],[11,12,13,16]]	[[1,5,8,11],[2,6,9,12],[3,7,10,13],[4,14,15,16]]
43	1111222334233444	1234123121434234	[[1,2,3,4],[5,6,7,11],[8,9,12,13],[10,14,15,16]]	[[1,5,8,10],[2,6,9,14],[3,7,12,15],[4,11,13,16]]
44	1111222334234344	1234123121432434	[[1,2,3,4],[5,6,7,11],[8,9,12,14],[10,13,15,16]]	[[1,5,8,10],[2,6,9,13],[3,7,12,15],[4,11,14,16]]
45	1111222334234434	1234123121432344	[[1,2,3,4],[5,6,7,11],[8,9,12,15],[10,13,14,16]]	[[1,5,8,10],[2,6,9,13],[3,7,12,14],[4,11,15,16]]
46	1111222334243344	1234123121423434	[[1,2,3,4],[5,6,7,11],[8,9,13,14],[10,12,15,16]]	[[1,5,8,10],[2,6,9,12],[3,7,13,15],[4,11,14,16]]
47	1111222334243434	1234123121423344	[[1,2,3,4],[5,6,7,11],[8,9,13,15],[10,12,14,16]]	[[1,5,8,10],[2,6,9,12],[3,7,13,14],[4,11,15,16]]
48	1111222334323444	1234123121344234	[[1,2,3,4],[5,6,7,12],[8,9,11,13],[10,14,15,16]]	[[1,5,8,10],[2,6,9,14],[3,7,11,15],[4,12,13,16]]
49	1111222334324344	1234123121342434	[[1,2,3,4],[5,6,7,12],[8,9,11,14],[10,13,15,16]]	[[1,5,8,10],[2,6,9,13],[3,7,11,15],[4,12,14,16]]
50	1111222334324434	1234123121342344	[[1,2,3,4],[5,6,7,12],[8,9,11,15],[10,13,14,16]]	[[1,5,8,10],[2,6,9,13],[3,7,11,14],[4,12,15,16]]
51	1111222334342344	1234123121324434	[[1,2,3,4],[5,6,7,13],[8,9,11,14],[10,12,15,16]]	[[1,5,8,10],[2,6,9,12],[3,7,11,15],[4,13,14,16]]
52	1111222334342434	1234123121324344	[[1,2,3,4],[5,6,7,13],[8,9,11,15],[10,12,14,16]]	[[1,5,8,10],[2,6,9,12],[3,7,11,14],[4,13,15,16]]
53	1111222334344234	1234123121323444	[[1,2,3,4],[5,6,7,14],[8,9,11,15],[10,12,13,16]]	[[1,5,8,10],[2,6,9,12],[3,7,11,13],[4,14,15,16]]
54	1111222334423344	1234123121243434	[[1,2,3,4],[5,6,7,12],[8,9,13,14],[10,11,15,16]]	[[1,5,8,10],[2,6,9,11],[3,7,13,15],[4,12,14,16]]
55	1111222334423434	1234123121243344	[[1,2,3,4],[5,6,7,12],[8,9,13,15],[10,11,14,16]]	[[1,5,8,10],[2,6,9,11],[3,7,13,14],[4,12,15,16]]
56	1111222334432344	1234123121234434	[[1,2,3,4],[5,6,7,13],[8,9,12,14],[10,11,15,16]]	[[1,5,8,10],[2,6,9,11],[3,7,12,15],[4,13,14,16]]
57	1111222334432434	1234123121234344	[[1,2,3,4],[5,6,7,13],[8,9,12,15],[10,11,14,16]]	[[1,5,8,10],[2,6,9,11],[3,7,12,14],[4,13,15,16]]
58	1111222334434234	1234123121233444	[[1,2,3,4],[5,6,7,14],[8,9,12,15],[10,11,13,16]]	[[1,5,8,10],[2,6,9,11],[3,7,12,13],[4,14,15,16]]
